8, 3, -2, -4, -8, 1, 0, 4, 0
-3, 3, 2, -1, -6, -2, 1, 1, 0
-6, 1, -1, 2, 6, -1, 2, 0, 0
-2, 1, 5, 2, 6, -1, -1, -3, 0
8, 2, 2, -4, -11, -2, -2, 0, 0
-4, -6, -4, -4, -7, -1, -1, -1, 0
-5, 3, 0, 3, 8, -1, 1, -1, 0
-1, -3, -4, -3, 5, 1, 0, -1, 0
6, 2, 3, -9, -10, 2, 1, 2, 0
0, -1, 0, -2, -4, -4, -2, 0, 0
-8, 1, -1, 6, 7, -2, -3, -2, 0
-5, -1, -2, 3, 2, -1, -5, -6, 0
5, 3, 1, -5, -7, -1, 1, 2, 0
1, 1, -2, -6, -6, -1, 2, 4, 0
-7, -5, -3, 3, 5, -1, -5, -4, 0
-4, -2, -1, -3, 1, -3, 3, 1, 0
2, -4, -1, -5, -12, -1, -7, -2, 0
1, 1, -3, 1, -6, -1, 1, -1, 0
-6, -2, 1, 4, 8, 0, 2, -2, 0
-4, -3, -3, 2, 2, 3, 2, -3, 0
6, -1, -5, -10, -10, -3, 0, 2, 0
2, 2, 1, -2, -5, -2, 2, -2, 0
-8, -4, 2, 7, 6, -2, -4, -1, 0
0, 0, -3, 3, 2, -1, -1, -1, 0
5, 3, 2, -1, -8, -1, -1, 2, 0
4, 3, 0, -3, -2, 1, 0, 2, 0
-9, -3, -1, 4, 8, -3, 0, -4, 0
-6, -2, 1, 2, 3, -2, 0, -5, 0
5, 1, -1, -6, -9, -1, 1, 3, 0
2, 0, 4, 0, -5, 1, 4, 4, 0
-6, -1, -3, 5, 5, 2, -5, -5, 0
-5, 2, 0, -3, 3, 0, 3, -1, 0
8, 0, -1, -5, -9, -1, -1, 1, 0
3, 0, 0, -2, -6, -4, -2, -3, 0
-9, 0, -1, 5, 9, 0, 0, -4, 0
-5, -2, 1, -1, 4, 0, -10, 1, 0
7, -2, -4, -6, -6, 1, -1, 2, 0
-1, -3, -1, -2, -3, -2, 3, 0, 0
-5, -3, -2, 5, 4, 0, 5, 0, 0
-1, 0, 1, 1, 2, 0, -1, -6, 0
6, 2, -1, -5, -10, 0, -1, 0, 0
0, 0, -3, -3, -7, -1, 5, 1, 0
-5, 0, 3, 3, 5, -3, -3, -7, 0
-4, -6, -5, 0, 2, -2, -1, 1, 0
6, 3, -1, -8, -13, -3, 0, 1, 0
1, 2, 6, 4, 1, 1, -1, 0, 0
-6, 0, 0, 7, 11, 5, 0, -1, 0
-2, 0, -3, -4, 3, 0, -2, -2, 0
9, -1, 0, -8, -9, 1, -3, -1, 0
2, 2, -1, -4, -9, -1, 1, -1, 0
-7, -7, 0, 4, 5, -4, -2, -5, 0
-4, -2, 0, 1, -1, -2, -1, -2, 0
5, 4, -1, -2, -7, -1, 0, 4, 0
-2, -1, 1, -2, -2, -2, -1, 1, 0
-8, -7, -4, 5, 7, -1, 2, 0, 0
-9, -1, -4, -1, 0, 3, 8, -4, 0
5, 3, 1, -6, -10, -3, -11, 3, 0
3, 3, 0, 0, -8, -3, -2, 1, 0
-6, -6, -5, 1, 6, 2, 6, 2, 0
-5, -3, -5, -4, 3, -2, -2, -7, 0
8, -2, -1, -3, -4, -2, 0, -2, 0
1, -2, 2, 0, -4, -3, -2, 1, 0
-8, -3, 0, 4, 6, -1, 2, -2, 0
-3, 1, -8, 1, 3, -1, 1, 0, 0
11, 4, 2, -1, -9, -3, -2, 3, 0
-2, -2, 7, -1, -5, 3, 0, 2, 0
-6, -5, 0, 6, 5, -4, -2, -1, 0
17, 0, -3, 1, 3, 3, -2, -2, 0
0, 8, 3, -10, -11, -1, -1, 1, 0
4, 1, 1, 0, -3, -2, 0, -1, 0
-7, -3, -4, 7, 7, 0, 2, -3, 0
0, 0, 3, 0, 2, 1, -2, 1, 0
6, -2, 0, -7, -8, 0, -3, 2, 0
0, -2, -1, 1, -2, -1, -3, -1, 0
-4, 0, -1, 5, 9, -1, 0, -2, 0
-2, 2, 5, -2, 4, 1, 2, 1, 0
6, -3, -3, -6, -13, -2, 1, 2, 0
1, -1, -2, -3, -2, -3, -2, -4, 0
-7, -6, -1, 4, 6, -4, 1, -1, 0
0, 2, 1, 0, 0, 2, -3, -2, 0
6, -1, -3, -8, -12, -2, -1, 3, 0
2, 0, 4, 1, -2, 1, -2, -1, 0
-9, -4, -4, 7, 7, 0, 0, -5, 0
-5, -3, -7, -6, 0, 1, 1, 1, 0
7, 3, 0, -8, -9, 1, -3, 2, 0
0, -2, 5, 3, -7, -1, -4, -2, 0
-5, -4, -2, 6, 11, 2, -2, -1, 0
1, -2, -3, -1, 3, 0, 1, 1, 0
6, 0, -1, -6, -9, -3, 0, 1, 0
-4, -2, -1, 1, -6, -6, 0, 1, 0
-7, -2, 3, 2, 9, -6, -1, -4, 0
1, -1, -1, 2, 1, -2, -1, 0, 0
7, 2, -1, -6, -10, 0, -3, 0, 0
1, -2, 2, -2, -3, -4, -1, 3, 0
-6, -4, -4, 3, 2, 1, 0, -3, 0
-3, 3, 0, 0, 3, -2, 10, -1, 0
9, 1, -4, -6, -13, -1, -13, 0, 0
-4, -2, 0, 4, -1, 1, 10, -4, 0
-6, -1, -1, 6, 5, -2, 1, 0, 0
4, 2, 0, -2, 0, -2, 0, 2, 0
17, 1, 1, -4, -8, -1, 1, -2, 0
0, -3, 1, 4, -3, 3, 2, -3, 0
-6, -3, 1, 3, 12, -3, 2, -4, 0
1, 1, -4, -3, 1, 0, -3, 1, 0
3, 0, -1, -4, -13, -3, -2, 2, 0
3, 2, 1, 1, -2, 0, -1, 1, 0
-7, -3, 1, 5, 9, 3, 3, 0, 0
-1, -1, -2, -3, 2, -1, -5, -3, 0
6, 4, -1, -4, -8, -6, -1, 0, 0
0, -3, 0, 0, -2, 0, -4, 1, 0
-8, -3, -1, 4, 10, 0, 2, -4, 0
-1, 0, -3, -4, -4, -2, -3, -1, 0
5, 1, -3, -7, -12, -5, 0, 1, 0
1, 1, 2, 7, 0, 1, -3, -3, 0
-9, -5, -5, 4, 10, 0, -2, -3, 0
-5, -1, 1, -2, 5, 2, -1, 0, 0
7, 1, 2, -6, -11, -2, -3, 4, 0
5, -1, 2, 3, -4, 10, 2, -2, 0
-6, -4, -10, -1, 5, -7, -4, -2, 0
1, -1, 0, -2, 1, 6, 0, -5, 0
8, 1, 2, -3, -10, -1, 0, 1, 0
0, 1, 0, 2, 1, -4, -3, -1, 0
-9, -3, -3, 4, 12, -4, -5, 0, 0
2, -3, -2, 0, 3, 1, 1, 0, 0
6, 2, 1, -7, -9, -1, 0, 4, 0
-2, -2, -1, 0, -1, -1, -2, 3, 0
-12, -3, -3, 6, 9, -1, 3, -4, 0
-1, -1, 1, 1, 1, -2, -1, -1, 0
9, 0, -1, -7, -11, -1, 0, 1, 0
-2, 0, 3, -1, -1, -5, -3, -2, 0
-10, -2, -3, 6, 11, 5, 1, -4, 0
-1, 0, -1, -1, -1, -1, 0, 1, 0
7, 1, -1, -4, -7, -2, 0, 1, 0
0, -4, -3, 0, 0, 1, -1, 1, 0
-5, 0, 3, 8, 9, -4, -3, -3, 0
2, -1, -3, 0, 1, 1, 1, 0, 0
7, 0, 0, -9, -7, 0, 2, 2, 0
-2, -2, 3, -1, -4, -7, -1, -1, 0
-8, -4, 3, 9, 6, -2, -4, -4, 0
-3, -3, -7, -4, -2, -1, -5, -5, 0
7, 3, 6, -2, -6, -7, -4, 3, 0
-3, -2, 3, 2, 5, 11, 6, 2, 0
-9, 0, 1, 1, 11, -1, 1, -4, 0
1, 0, -2, -4, -5, 0, 2, -1, 0
8, 2, 3, -5, -10, 3, -1, 2, 0
1, -2, -3, -1, -3, -4, -1, -2, 0
-6, -8, -13, -4, 9, -2, -2, -7, 0
-3, -2, 2, 3, -1, 0, 0, -4, 0
8, 2, 1, -3, -7, 1, 1, -1, 0
-2, 2, 3, 3, -1, -2, 5, 5, 0
-6, -4, 0, 1, 9, 2, -2, -2, 0
-1, 2, -3, -4, -5, -4, 1, -4, 0
5, 2, -1, -4, -8, 1, -1, 0, 0
-2, -3, 1, 2, -1, 1, -1, -4, 0
-10, -3, -2, 4, 11, 6, 1, -3, 0
0, -7, -4, -6, -8, -3, -3, -3, 0
6, -1, 1, -4, -10, -1, 1, -2, 0
-4, -1, -14, -5, 0, -3, -2, -1, 0
-8, -4, 11, 7, 6, 1, 0, -3, 0
-1, 1, 6, 2, 2, 11, 8, 0, 0
2, -1, -24, -11, -13, -2, -5, 3, 0
-1, 1, 9, 5, 0, -3, 1, -2, 0
-9, -1, 4, 3, 9, -2, -5, -5, 0
0, 0, 1, -4, -4, -3, -4, -3, 0
8, 2, 3, -2, -9, -2, -4, 1, 0
-5, -4, -3, 0, 3, 1, 0, -1, 0
-7, -3, -5, 5, 6, -1, 3, 1, 0
2, 1, 0, -2, -3, 0, 3, -1, 0
7, 3, 3, -3, -6, -2, 1, 1, 0
0, -5, 0, -1, 3, -1, -3, -1, 0
-5, -4, -3, 3, 7, 0, -1, 4, 0
0, 0, -1, -3, -1, 0, 1, -5, 0
4, 2, 2, -2, -7, 0, 1, -1, 0
-1, -3, 5, 1, 0, 2, 0, -1, 0
-7, -1, 2, 5, 9, -1, 3, -2, 0
-1, 3, 1, -3, -2, 5, -3, 0, 0
9, 4, 6, -4, -8, 3, 5, 0, 0
-2, -11, -5, -2, 2, -3, -1, -3, 0
-3, -2, -2, 2, 6, 0, 0, -2, 0
4, 1, 2, -5, -5, 1, -4, -2, 0
6, 2, 3, -7, -8, -3, -2, 2, 0
-4, -1, 0, -1, -1, -5, -1, 0, 0
-9, -2, -9, 5, 8, 8, 0, -3, 0
5, 1, 0, -1, -3, -5, -1, -4, 0
7, 3, 0, -5, -9, -2, 2, 2, 0
-4, -4, -2, 2, -1, -6, -2, 2, 0
-9, -1, 2, 5, 10, 1, 3, -1, 0
3, 0, -3, -1, -1, 1, -6, -1, 0
6, 2, -2, -7, -12, -3, -2, 0, 0
-1, -9, -3, 1, 2, -1, 2, -2, 0
-5, -5, 4, 7, 7, 2, 4, -4, 0
4, 1, 2, -7, -8, 3, -4, -3, 0
5, -1, -5, -9, -10, -1, -10, 1, 0
0, -1, -2, 2, 3, 3, 13, -1, 0
-6, -4, -2, 5, 10, -5, -7, -5, 0
2, -1, 4, -3, -1, 0, -1, -3, 0
7, 5, 1, -3, -9, 3, 0, 2, 0
-2, -3, 0, 2, -2, 3, 0, 1, 0
-6, -5, -3, 4, 5, -1, 6, -3, 0
0, -2, -1, 1, -4, 0, -8, -4, 0
7, -1, -1, -5, -16, -6, -4, 3, 0
-3, -1, -1, 1, 2, -4, 2, -2, 0
-8, -3, 1, 2, 8, 0, 0, -4, 0
3, 1, -3, -4, -4, -2, 0, 1, 0
5, 0, -3, -9, -9, -1, -1, 0, 0
-5, -3, 2, 2, 1, -3, 0, 0, 0
-6, -2, -2, 5, 6, -3, 1, -5, 0
2, -1, -3, -4, -5, 0, -3, -1, 0
4, 0, -3, -7, -10, -2, 0, 4, 0
-2, -1, 0, 4, 1, -4, 0, -1, 0
-5, 3, 4, 7, 12, 1, 1, -4, 0
4, 0, -4, -3, -2, -3, -3, 2, 0
9, 2, 1, -6, -9, -2, -4, 2, 0
-5, -4, -1, 4, 6, -1, 3, 0, 0
-6, -5, -3, 4, 7, 3, 7, -1, 0
4, 2, -1, -6, -7, -1, -4, 1, 0
3, 3, 5, -3, -10, 0, -2, 0, 0
-5, -2, -1, 5, 5, 2, -1, -3, 0
-6, -4, -2, 5, 6, 1, 5, -2, 0
3, -1, 3, -3, -7, -1, 1, 3, 0
4, 2, 2, -6, -11, -1, 1, 4, 0
-6, -10, -11, 0, 3, -3, 0, -5, 0
-7, -1, -1, 3, 6, 2, -5, -3, 0
4, 5, 2, 2, -5, 1, -4, 1, 0
6, -1, -5, -6, -11, -3, -1, -1, 0
-1, -4, 1, 2, 4, 0, -2, -1, 0
-6, -2, -1, 5, 6, -5, -1, -4, 0
3, 1, 1, -4, -4, -2, -3, 3, 0
4, -2, 0, -5, -7, 2, 10, 0, 0
-5, -1, -3, -2, 3, -4, -11, -2, 0
-7, -3, -1, 3, 7, -5, 2, -3, 0
4, 0, 1, 0, -6, 3, -6, -2, 0
9, 1, 1, -2, -9, -6, 1, 5, 0
-4, -4, -1, 0, 4, -3, 0, -1, 0
-8, -3, 0, 4, 7, 4, 2, -2, 0
4, 2, -1, -3, -5, -2, 0, 2, 0
4, 1, 1, -8, -12, -1, -4, 1, 0
-5, 0, 0, 5, 3, 0, -4, -1, 0
-6, -3, 0, 6, 10, -3, 1, 0, 0
1, -2, -5, -7, -7, -1, -3, -3, 0
9, 3, 1, -8, -12, -2, 0, 0, 0
-5, -1, 2, 5, 5, -1, -3, -5, 0
-6, -6, -2, 5, 10, 1, -2, -3, 0
6, 2, -1, -4, -4, 0, 1, 2, 0
5, 0, -4, -3, -8, -3, 0, -1, 0
-6, -1, -1, 4, 7, -2, -4, -3, 0
-6, -2, 3, 5, 9, -2, -2, 0, 0
5, -1, -3, -7, -6, 1, 0, 0, 0
7, -2, 0, -6, -8, 0, 1, 0, 0
-5, -1, 0, 1, 5, 0, 3, 0, 0
-5, -2, 0, 3, 11, 5, -1, -3, 0
4, -1, -1, -5, -6, 1, 7, 2, 0
7, 1, -1, -6, -8, -3, -4, -3, 0
-8, -2, -2, 2, 2, -1, -1, -1, 0
-7, -1, 0, 3, 7, 0, 3, -2, 0
5, -1, -4, -5, -7, -2, -2, -1, 0
5, -2, 2, -2, -6, 1, 1, 4, 0
-8, -4, -2, 2, 5, -2, 0, 0, 0
-4, 0, 1, 1, 9, -4, -1, -6, 0
4, 2, 2, -7, -6, -2, -2, 1, 0
2, 3, 0, 1, -8, -3, -1, 1, 0
-7, -4, 2, 1, 3, -2, 1, -3, 0
-12, -3, -2, 2, 6, 3, 4, -2, 0
4, 1, -5, -7, -5, -2, -3, -1, 0
4, 2, -3, -3, -7, -1, -4, 0, 0
-5, -4, -4, 0, 3, -1, -2, -6, 0
-7, -2, -2, 0, 7, -1, 0, -3, 0
7, 6, -1, 0, -5, 1, -2, -1, 0
1, -3, 0, -4, -7, 0, -2, -2, 0
-8, -1, 0, 1, 4, -3, -1, -3, 0
-2, -3, 1, 5, 9, 2, 1, 0, 0
5, -4, 0, -7, -6, -3, -1, 0, 0
5, 1, 1, -2, -11, 5, -3, 1, 0
-4, -3, -3, 3, 6, -1, 5, -3, 0
-4, -1, -3, -1, 4, -2, -17, -3, 0
2, -2, -1, -8, -6, -4, 0, -1, 0
6, 3, 0, -3, -7, -3, 2, -1, 0
-8, -1, 4, 7, 9, -1, 2, -1, 0
-7, 2, 3, 4, 11, 0, -1, -3, 0
1, -2, -8, -10, -9, -1, 0, 0, 0
2, -2, 1, -3, -12, 0, 0, -1, 0
-5, -1, 3, 7, 13, 2, 0, -2, 0
-4, 1, 1, 5, 7, 0, -3, 1, 0
5, 0, 0, -8, -7, -2, 1, 3, 0
3, 2, 0, -5, -8, -2, -1, 1, 0
-7, -6, -5, 1, 0, -2, -3, -4, 0
-6, -3, -4, 3, 4, -1, -4, -5, 0
3, 4, 2, -3, -4, -1, -1, 3, 0
2, 2, -2, 1, -8, -1, -2, 2, 0
-6, -1, -4, 1, 5, -1, 1, -2, 0
-6, -2, 2, 2, 7, 2, -1, -3, 0
3, 1, 2, -4, -10, -4, 1, 1, 0
3, 0, 1, -4, -8, 0, 0, 2, 0
-4, -3, 0, 5, 5, 1, -1, -1, 0
-6, 0, -1, 4, 2, -1, 0, 0, 0
6, 0, -3, -6, -2, 0, 1, -1, 0
4, -5, -2, -5, -4, -3, 3, 4, 0
-5, -1, 3, 2, 5, -1, -1, 0, 0
-5, -1, 0, 1, 6, -3, 0, 0, 0
3, 1, -3, -3, -6, -2, -1, 1, 0
2, 0, -1, -3, -4, 1, 1, 2, 0
-6, -3, -1, 5, 5, 0, -1, -4, 0
-4, -2, -2, 1, 6, -1, -1, -3, 0
6, 2, 0, -9, -7, -3, -1, 1, 0
5, -1, 1, -4, -6, 0, 0, 1, 0
-9, -1, -4, 4, 2, 0, 1, -1, 0
-5, -3, 1, 0, 2, -1, -1, -6, 0
6, 1, 2, -8, -10, 0, -1, 1, 0
5, -3, -5, -3, -8, -1, -1, 1, 0
-7, 0, 1, 6, 7, -5, 0, -2, 0
-6, -1, 0, 3, 10, 2, 2, -1, 0
5, -3, 2, -6, -4, -2, 2, 1, 0
1, 3, 1, 1, -7, 0, 0, 2, 0
-5, 0, 1, 5, 7, 0, -2, -2, 0
-3, -3, 1, 4, 6, 0, 2, -3, 0
5, 2, 1, -5, -11, -4, 0, 3, 0
2, 3, -4, -3, -6, 1, -1, 0, 0
-5, -4, -1, 4, 6, -2, -1, -3, 0
-3, -4, -5, 2, 3, -2, 1, -3, 0
4, 0, 2, -10, -9, 0, 0, 3, 0
4, -2, -2, -6, -4, -1, -1, 0, 0
-7, -1, -1, 2, 4, -4, -1, -7, 0
-4, -3, -2, 0, 4, 0, 2, -5, 0
4, 3, 2, -1, -3, 4, 1, 0, 0
4, 0, 1, -3, -8, 0, 2, 3, 0
-10, -5, 0, -1, 5, -5, -2, -3, 0
-4, 1, 1, 2, 6, 0, -1, -3, 0
6, 3, 2, -1, -3, 0, 0, 1, 0
2, -2, -5, -3, -6, -1, -1, 2, 0
-7, -3, -5, 2, 3, -2, -3, -5, 0
-6, -1, -2, 0, 3, -1, -2, -1, 0
5, -1, -5, -5, -9, 1, -2, 0, 0
4, -1, 5, -3, -7, 0, -1, 2, 0
-8, -2, -3, 1, 2, -1, -1, -2, 0
-6, -4, -4, -2, 0, 1, -1, -2, 0
8, 3, 0, -1, -8, 0, -1, 0, 0
1, 0, 1, 0, -5, -1, 0, 4, 0
-11, 0, 3, 6, 10, -1, 2, -2, 0
-9, -9, -9, -5, 0, 3, -1, -5, 0
4, 4, 3, -7, -9, 2, 1, 1, 0
2, 2, -2, -6, -6, -3, 2, 0, 0
-4, -1, 3, 6, 7, 0, -1, -4, 0
-2, 1, 2, 2, 6, 2, 2, -1, 0
6, -3, -5, -10, -8, -2, -4, 0, 0
3, 0, 0, -3, -9, -1, -1, 0, 0
-5, -2, 2, 7, 8, 2, -2, -5, 0
-3, -1, -2, 2, 5, 1, -2, -4, 0
4, 3, 2, -7, -5, 3, 1, 3, 0
2, 4, 2, 1, -5, -1, -1, 0, 0
-8, 0, -2, 4, 7, -3, 2, -3, 0
-2, 2, -4, -1, 6, 0, -2, -2, 0
8, 1, 2, -7, -13, 1, 0, 0, 0
-2, -4, -3, -4, -6, -1, -1, 0, 0
-3, -3, 0, 5, 9, 1, -1, 0, 0
-1, 1, -3, 0, 5, -2, 1, 0, 0
4, 0, -3, -9, -14, -3, -3, 0, 0
3, 0, 3, 0, -6, 0, -1, -1, 0
-4, -2, 3, 6, 9, -4, 0, -3, 0
-4, -3, -6, 1, 3, -1, 0, -5, 0
6, 1, -1, -9, -10, 2, -2, 0, 0
3, 1, 0, -1, -6, -1, -1, 4, 0
-8, -4, 2, 4, 5, -2, 0, 0, 0
-3, 0, 3, 6, 5, 2, -3, -1, 0
5, 1, 1, -6, -10, 2, 6, -2, 0
3, 1, -3, -4, -4, -2, -9, 0, 0
-6, -3, 2, 3, 6, -3, -1, -3, 0
0, -2, -2, 1, 5, 1, 7, 1, 0
5, -2, -1, -3, -8, -2, -1, 2, 0
3, 3, 3, 2, -1, 2, -1, 2, 0
-9, -4, -6, 5, 10, -1, 1, -1, 0
-2, 3, 0, -2, 0, -1, -1, -3, 0
6, 0, -4, -7, -11, 0, -2, -1, 0
-1, 1, -1, -4, -5, -3, 3, 2, 0
-10, -5, -2, 6, 6, -1, -8, -4, 0
-1, -2, -1, 4, 2, 1, 0, 0, 0
10, 4, 2, -5, -8, -1, 0, 3, 0
1, 0, -1, -1, -4, 1, 2, 1, 0
-6, -5, 0, 4, 5, 1, 1, -1, 0
-2, -1, -3, 0, 5, 1, 0, -3, 0
6, 0, 2, -5, -9, -4, -1, 2, 0
1, 0, 3, -1, -3, -2, 0, 2, 0
-9, -5, 1, 2, 8, -2, 1, -6, 0
-2, -4, -2, -1, 2, 0, 6, 0, 0
5, 3, 3, -3, -10, -3, -1, 2, 0
3, -2, 0, 3, -6, 1, 0, 2, 0
-9, -4, -6, 0, 4, -2, 2, -6, 0
-1, -2, 1, 4, 4, 0, 2, 2, 0
8, 7, 6, -9, -7, 0, 2, 1, 0
0, 1, 0, 4, 0, 0, -2, 0, 0
-9, 1, 1, -2, 4, -6, -1, -1, 0
-6, -5, -4, -3, 1, 2, 1, -4, 0
5, -1, 2, -5, -8, 0, -1, 3, 0
0, -2, -5, -1, -7, -1, 0, 0, 0
-3, -1, -2, 4, 7, -1, 0, -1, 0
-4, -1, -1, 1, 0, -1, -3, -3, 0
4, 2, -1, -8, -11, -4, -4, 3, 0
3, 0, 5, 1, -3, 0, 0, 0, 0
-6, -1, 0, 7, 9, -1, 1, -1, 0
-6, -7, -4, 1, 0, 0, -2, -1, 0
6, -3, 0, -6, -8, 2, 7, 3, 0
-2, -4, -5, -5, -3, -4, -19, -3, 0
-7, -4, 1, 6, 10, 1, 1, -2, 0
-3, -4, -5, -2, 4, -1, 3, 0, 0
6, 2, 0, -8, -13, -2, 0, 1, 0
1, 1, 0, 0, -5, -2, -1, 1, 0
-7, -3, 1, 6, 9, 1, -4, -3, 0
0, -1, 1, 6, 1, 0, 3, 2, 0
6, -1, -4, -6, -11, -2, 2, 4, 0
4, -2, 2, -3, -1, 1, -1, -1, 0
-9, -2, 1, 8, 9, -1, 0, -4, 0
-4, 1, -1, -1, 1, 2, 2, -1, 0
6, -1, -1, -6, -8, 1, -1, 2, 0
1, 0, -5, -2, -2, -1, 0, 0, 0
-12, -3, 0, 5, 5, 1, -2, -4, 0
-3, 0, -2, 0, 3, 1, 4, -2, 0
5, -2, -2, -8, -10, -4, -2, 4, 0
-4, 3, 1, 0, -6, 0, -1, 2, 0
-7, 0, -3, 8, 7, -1, 0, -2, 0
2, 3, -2, 0, 5, 1, 1, 2, 0
9, 2, 0, -5, -6, 0, 0, 1, 0
-1, -1, 0, 0, 1, -1, -3, -4, 0
-9, -7, -7, 2, 2, -3, -3, -2, 0
-4, 2, 0, -4, 5, -1, 6, -3, 0
7, 1, 4, -4, -8, -6, -19, 0, 0
0, -10, -8, -6, -4, 0, 1, -2, 0
-7, -3, -5, 1, 5, -6, 5, 0, 0
2, 2, 1, 2, 2, 2, -6, -1, 0
9, -2, -1, -4, -6, 1, 1, 0, 0
1, -2, 0, 0, -4, -2, 2, -1, 0
-6, -4, -1, 5, 9, -1, -1, -5, 0
-3, -2, -2, -2, 0, -4, -1, -1, 0
5, -1, 3, -6, -6, 2, -2, 0, 0
2, -1, 1, -3, -5, -2, -1, 0, 0
-8, -1, -3, 5, 8, 0, -1, -2, 0
-3, 0, -1, -1, 2, -1, 2, 1, 0
6, 0, 0, -7, -13, -3, 2, 2, 0
1, 0, 0, -2, -1, -2, 1, 0, 0
-10, -3, -1, 3, 6, 0, 6, -2, 0
-1, 2, 1, 1, 2, -1, 7, 2, 0
5, 1, -3, -8, -11, 1, -14, -3, 0
3, 0, 0, 1, -3, -4, 14, 5, 0
-6, -6, -5, 1, 8, -2, -2, -7, 0
-1, -2, -4, -3, 1, -1, -4, -1, 0
9, 1, 1, -5, -9, -1, 4, 5, 0
0, 2, 2, 0, -1, -1, -7, 0, 0
-8, -5, -5, 1, 8, -3, -2, -4, 0
1, 1, 0, -3, 0, 0, 5, -1, 0
2, 0, 1, -7, -11, 1, -5, -2, 0
